index,Gene,MSE,r2,pearson_correlation
275,CLCN6,0.01875185708449687,-0.12998885524096448,0.04801525128931316
276,MRC2,0.011665198781156539,-0.0985852130737297,0.04216419506140279
277,NME2,0.026634764424358366,-0.09379597736898915,0.049206091564481545
278,SLC6A7,0.015770793242905822,-0.09790621776032249,0.02729438513911735
279,TSPAN9,0.016234595508436547,-0.27204304591323947,-0.08956502242353921
280,BTBD7,0.019814921581589914,-0.08121838749080101,0.020280474321553735
281,APBA3,0.018819814775657886,-0.04477309328841983,0.09788288359224945
282,MKS1,0.009811136458060888,-0.06980618696980079,0.14349824686395948
283,ABHD5,0.00924641679364047,-0.04398848005412881,0.1501286880409458
284,ANOS1,0.008986502110946988,-0.11770633527136698,0.03429052226597189
285,AKAP8L,0.020775540305406712,-0.10334953323443807,0.04501890617188236
286,MBTD1,0.02076466975437919,0.058281337160255964,0.2692392732827695
287,UTP18,0.040829175585849524,0.008170782390575004,0.20594456923467652
288,RNF216,0.01206769358646873,0.003583258869300776,0.21674900131574307
289,TTC19,0.017626868644839422,-0.09577428718212966,0.06102278727758634
290,PTBP1,0.09203870569780273,-0.08434176638500812,0.11345782197776169
291,DPF1,0.017476747729642243,-0.18975237966116598,-0.10568658845156872
292,SYT7,0.01955936364300565,-0.20801903311274073,-0.0020761701961106317
293,LARS2,0.14612859467162614,-0.1726277640930749,0.046903005229862786
294,PIK3C2A,0.014954205175262822,-0.260137930096356,-0.1363776437268176
295,PLAUR,0.015685617683586763,-0.14858950131181548,-0.02106967644425441
296,ANLN,0.04840783433405156,-0.07744530873758282,0.07547320110771678
297,WIZ,0.016591539637753935,0.024870853563342177,0.21583940144131036
298,RABGAP1,0.008610965133954714,-0.263143335138714,-0.08538262799749133
299,DCN,0.009651399199117028,-0.13974598276699357,0.017904817692139297
300,QPCTL,0.012459318970520794,-0.1620883003212954,0.005942952877720603
301,PPP5C,0.02448707441504787,-0.15526695293432913,-0.07115899245186413
302,CEP68,0.02047824836023357,-0.0981017737952039,0.04657750434909393
303,MAP4K3,0.017370264276245863,-0.13559318751159166,-0.000818581641726607
304,ZBTB32,0.007990720812268388,-0.20465473652721644,0.0027069617965525864
305,TYROBP,0.008196778281785257,-0.1322210295860311,-0.01869280282138115
306,LDAF1,0.008333916097853635,-0.08731057652048713,0.0925249758376503
307,GABRA3,0.02027426667641741,-0.1580235732655375,0.04307723923497004
308,BRCA1,0.047041309488102624,0.06825607265726319,0.267411246660408
309,ERCC1,0.014844779711878019,0.04060103044767571,0.2813508284605861
310,CD22,0.0108017084075513,-0.13488273058371458,-0.0027060648591466117
312,MBTPS2,0.10401023773190866,0.017690382143422667,0.19849907138357198
313,PRICKLE3,0.010452302756267684,-0.16721817479675183,-0.03022768221105026
314,LTF,0.014977782956141359,-0.15515864904807963,-0.019666455267239143
315,EXTL3,0.037327087294104666,-0.014559177281486146,0.18863576212797323
316,NR1H4,0.016045755065176914,-0.13292304557699008,0.01763482874416486
317,ELOVL5,0.014750805933043051,-0.09559339852438042,0.0870510462601093
318,ALOX5,0.014008117280144915,-0.22494564899155112,-0.06358678806778514
319,KDM5D,0.001758441694631994,-0.4278314460214354,0.1421247037446996
320,CALCOCO1,0.014506099066353653,-0.04625290745800714,0.11360994952588405
321,UBR7,0.011196007805428955,-0.15642643693839076,0.04780472314577736
323,EHD3,0.007397464622235395,-0.1112726350481299,0.07535648635819786
